player,team,stat_category,game_id,no,yds,avg,long,td
Rasheen Ali,BAL,kick returns,401773001,1,69,69.0,69,0
Keaton Mitchell,BAL,kick returns,401773001,3,64,21.3,25,0
Dayton Wade,BAL,kick returns,401773001,1,23,23.0,23,0
