player,team,stat_category,game_id,c_att,yds,avg,td,int,sacks,rtg,
Devin Leary,BAL,passing,401773001,3/12,43,3.6,0,1,1-2,7.3,
Cooper Rush,BAL,passing,401773001,2/4,16,4.0,0,1,1-8,20.8,
