player,team,stat_category,game_id,rec,yds,avg,td,long,tgts
LaJohntay Wester,BAL,receiving,401773001,2,41,20.5,0,30,3
Tylan Wallace,BAL,receiving,401773001,1,9,9.0,0,9,1
Charlie Kolar,BAL,receiving,401773001,1,7,7.0,0,7,1
D'Ernest Johnson,BAL,receiving,401773001,1,2,2.0,0,2,1
Keith Kirkwood,BAL,receiving,401773001,0,0,0.0,0,0,1
Anthony Miller,BAL,receiving,401773001,0,0,0.0,0,0,2
Scotty Washington,BAL,receiving,401773001,0,0,0.0,0,0,1
Dayton Wade,BAL,receiving,401773001,0,0,0.0,0,0,3
Rasheen Ali,BAL,receiving,401773001,0,0,0.0,0,0,1
Devontez Walker,BAL,receiving,401773001,0,0,0.0,0,0,2
