player,team,stat_category,game_id,no,yds,avg,long,td
Khalil Herbert,IND,kick returns,401773001,2,51,25.5,31,0
Anthony Gould,IND,kick returns,401773001,1,36,36.0,36,0
DJ Giddens,IND,kick returns,401773001,1,21,21.0,21,0
