player,stat_type,game_id,rec,yds,avg,td,long,tgts,fum,lost
Sal Cannella,receiving,401773018,3,32,10.7,0,19,4,,
Luke Floriea,receiving,401773018,1,30,30.0,0,30,2,,
Brenden Bates,receiving,401773018,2,30,15.0,0,25,3,,
Kaden Davis,receiving,401773018,3,23,7.7,2,12,3,,
Gage Larvadain,receiving,401773018,2,23,11.5,0,19,3,,
Trayveon Williams,receiving,401773018,2,17,8.5,0,15,2,,
Toa Taua,receiving,401773018,2,16,8.0,0,9,2,,
Cade McDonald,receiving,401773018,2,11,5.5,1,6,2,,
Jamari Thrash,receiving,401773018,2,9,4.5,0,11,2,,
Diontae Johnson,receiving,401773018,0,0,0.0,0,0,2,,
Chase Cota,receiving,401773018,0,0,0.0,0,0,2,,
Kisean Johnson,receiving,401773018,0,0,0.0,0,0,2,,
Dylan Sampson,receiving,401773018,0,0,0.0,0,0,1,,
Ahmani Marshall,receiving,401773018,1,-2,-2.0,0,-2,1,,
Luke Floriea,receiving,401773018,1,,,,,,1,0
Nathaniel Watson,receiving,401773018,1,,,,,,0,0
