player,team,stat_category,game_id,rec,yds,avg,td,long,tgts
Tyler Higbee,LAC,angeles receiving,401671882,5,58,11.6,0,23,5
Puka Nacua,LAC,angeles receiving,401671882,5,44,8.8,0,27,9
Cooper Kupp,LAC,angeles receiving,401671882,1,29,29.0,0,29,1
Demarcus Robinson,LAC,angeles receiving,401671882,1,23,23.0,0,23,2
Kyren Williams,LAC,angeles receiving,401671882,3,16,5.3,1,6,3
Davis Allen,LAC,angeles receiving,401671882,1,13,13.0,1,13,2
Hunter Long,LAC,angeles receiving,401671882,1,13,13.0,0,13,2
Colby Parkinson,LAC,angeles receiving,401671882,2,13,6.5,0,7,2
