player,stat_type,game_id,c_att,yds,avg,td,int,sacks,rtg,,car,long,no,tb,in 20
Shedeur Sanders,rushing,401773018,14/23,138,6.0,2,0,2-6,106.8,,,,,,
Tyler Huntley,rushing,401773018,6/8,51,6.4,1,0,1-0,130.7,,,,,,
Ahmani Marshall,rushing,401773018,,32,4.0,0,,,,,8,11,,,
Toa Taua,rushing,401773018,,30,6.0,0,,,,,5,12,,,
Trayveon Williams,rushing,401773018,,26,5.2,0,,,,,5,13,,,
Shedeur Sanders,rushing,401773018,,19,4.8,0,,,,,4,10,,,
Tyler Huntley,rushing,401773018,,10,1.7,0,,,,,6,9,,,
Dylan Sampson,rushing,401773018,,6,3.0,0,,,,,2,5,,,
Gage Larvadain,rushing,401773018,,4,4.0,1,,,,,1,4,,,
Kaden Davis,rushing,401773018,,-2,-2.0,0,,,,,1,-2,,,
Nik Needham,rushing,401773018,,0,,0,1,,,,,,,,
Luke Floriea,rushing,401773018,,25,25.0,0,,,,,,25,1,,
Kaden Davis,rushing,401773018,,15,15.0,0,,,,,,15,1,,
Trayveon Williams,rushing,401773018,,13,13.0,0,,,,,,13,1,,
Gage Larvadain,rushing,401773018,,38,19.0,0,,,,,,30,2,,
Kaden Davis,rushing,401773018,,16,16.0,0,,,,,,16,1,,
Luke Floriea,rushing,401773018,,9,4.5,0,,,,,,5,2,,
Corey Bojorquez,rushing,401773018,,255,51.0,,,,,,,62,5,0,2
