player,team,stat_category,game_id,rec,yds,avg,td,long,tgts
KeAndre Lambert-Smith,LAC,angeles receiving,401772971,2,43,21.5,1,28,2
Tucker Fisk,LAC,angeles receiving,401772971,1,19,19.0,0,19,1
Jaret Patterson,LAC,angeles receiving,401772971,2,18,9.0,0,12,2
Will Dissly,LAC,angeles receiving,401772971,2,14,7.0,1,9,2
Brenden Rice,LAC,angeles receiving,401772971,1,13,13.0,0,13,1
Dalevon Campbell,LAC,angeles receiving,401772971,1,12,12.0,0,12,3
Jaylen Johnson,LAC,angeles receiving,401772971,1,10,10.0,0,10,1
Hassan Haskins,LAC,angeles receiving,401772971,1,8,8.0,0,8,1
Oronde Gadsden II,LAC,angeles receiving,401772971,1,7,7.0,0,7,1
Nyheim Miller-Hines,LAC,angeles receiving,401772971,1,4,4.0,0,4,1
Derius Davis,LAC,angeles receiving,401772971,1,4,4.0,0,4,1
Dez Fitzpatrick,LAC,angeles receiving,401772971,0,0,0.0,0,0,2
Tre' Harris,LAC,angeles receiving,401772971,0,0,0.0,0,0,1
JaQuae Jackson,LAC,angeles receiving,401772971,0,0,0.0,0,0,1
Kimani Vidal,LAC,angeles receiving,401772971,1,-7,-7.0,0,-7,1
