player,team,stat_category,game_id,rec,yds,avg,td,long,tgts
Jayden Higgins,HOU,receiving,401772723,2,32,16.0,0,23,3
Xavier Hutchinson,HOU,receiving,401772723,2,30,15.0,0,23,2
Dalton Schultz,HOU,receiving,401772723,3,28,9.3,0,11,5
Justin Watson,HOU,receiving,401772723,2,27,13.5,0,15,2
Nico Collins,HOU,receiving,401772723,3,25,8.3,0,14,5
Cade Stover,HOU,receiving,401772723,4,22,5.5,0,10,4
Dare Ogunbowale,HOU,receiving,401772723,2,17,8.5,0,16,2
Jaylin Noel,HOU,receiving,401772723,1,7,7.0,0,7,2
Nick Chubb,HOU,receiving,401772723,0,0,0.0,0,0,1
Dameon Pierce,HOU,receiving,401772723,0,0,0.0,0,0,1
