player,team,stat_category,game_id,fum,lost,rec
Derius Davis,LAC,angeles fumbles,401671878,1,0,1
Tony Jefferson,LAC,angeles fumbles,401671878,0,0,1
Derwin James Jr.,LAC,angeles fumbles,401671878,0,0,1
