player,team,stat_category,game_id,c_att,yds,avg,td,int,sacks,qbr,rtg
Bo Nix,DEN,passing,401671881,13/22,144,6.5,1,0,2-14,63.5,93.7
Riley Dixon,DEN,passing,401671881,1/1,15,15.0,0,0,0-0,--,118.8
