player,team,stat_category,game_id,car,yds,avg,td,long
Tony Pollard,NE,rushing,401772832,18,60,3.3,0,9
Chimere Dike,NE,rushing,401772832,1,9,9.0,0,9
Julius Chestnut,NE,rushing,401772832,2,2,1.0,0,1
