player,team,stat_category,game_id,rec,yds,avg,td,long,tgts
Tee Higgins,CIN,receiving,401772829,3,33,11.0,0,13,4
Noah Fant,CIN,receiving,401772829,4,26,6.5,1,12,5
Ja'Marr Chase,CIN,receiving,401772829,2,26,13.0,0,20,5
Mike Gesicki,CIN,receiving,401772829,1,14,14.0,0,14,3
Chase Brown,CIN,receiving,401772829,2,8,4.0,0,7,3
Samaje Perine,CIN,receiving,401772829,2,6,3.0,0,5,2
Drew Sample,CIN,receiving,401772829,0,0,0.0,0,0,1
