player,team,stat_category,game_id,rec,yds,avg,td,long,tgts
Jaxon Smith-Njigba,SEA,receiving,401772831,9,124,13.8,0,40,13
Cooper Kupp,SEA,receiving,401772831,2,15,7.5,0,9,3
Elijah Arroyo,SEA,receiving,401772831,1,7,7.0,0,7,1
Kenneth Walker III,SEA,receiving,401772831,3,4,1.3,0,5,3
AJ Barner,SEA,receiving,401772831,1,0,0.0,0,0,2
