player,team,stat_category,game_id,car,yds,avg,td,long
Aaron Jones Sr.,MIN,rushing,401671882,13,48,3.7,0,13
Cam Akers,MIN,rushing,401671882,5,39,7.8,0,26
Sam Darnold,MIN,rushing,401671882,4,19,4.8,0,17
