player,stat_type,game_id,c_att,yds,avg,td,int,sacks,rtg,,car,long,no,tb,in 20
Kyle Allen,rushing,401773016,7/8,120,15.0,2,0,2-6,158.3,,,,,,
Hendon Hooker,rushing,401773016,7/10,38,3.8,0,0,1-6,76.2,,,,,,
Jacob Saylors,rushing,401773016,,35,3.9,0,,,,,9,9,,,
Hendon Hooker,rushing,401773016,,27,9.0,0,,,,,3,23,,,
Craig Reynolds,rushing,401773016,,15,2.5,0,,,,,6,6,,,
Jabari Small,rushing,401773016,,13,2.6,0,,,,,5,6,,,
Kyle Allen,rushing,401773016,,10,5.0,0,,,,,2,8,,,
Craig Reynolds,rushing,401773016,,29,14.5,0,,,,,,18,2,,
Jabari Small,rushing,401773016,,17,17.0,0,,,,,,17,1,,
Tom Kennedy,rushing,401773016,,3,1.5,0,,,,,,3,2,,
Jack Fox,rushing,401773016,,82,41.0,,,,,,,41,2,0,1
