player,team,stat_category,game_id,car,yds,avg,td,long
Zach Charbonnet,SEA,rushing,401772831,12,47,3.9,1,7
Kenneth Walker III,SEA,rushing,401772831,10,20,2.0,0,8
Sam Darnold,SEA,rushing,401772831,2,14,7.0,0,9
AJ Barner,SEA,rushing,401772831,1,2,2.0,0,2
Jalen Milroe,SEA,rushing,401772831,1,1,1.0,0,1
