player,team,stat_category,game_id,rec,yds,avg,td,long,tgts
Tetairoa McMillan,CAR,receiving,401772828,5,68,13.6,0,21,9
Chuba Hubbard,CAR,receiving,401772828,3,32,10.7,1,27,5
Ja'Tavion Sanders,CAR,receiving,401772828,2,27,13.5,0,18,3
Hunter Renfrow,CAR,receiving,401772828,2,11,5.5,0,6,6
Xavier Legette,CAR,receiving,401772828,3,10,3.3,0,9,7
Rico Dowdle,CAR,receiving,401772828,2,4,2.0,0,3,3
Tommy Tremble,CAR,receiving,401772828,1,2,2.0,0,2,1
