player,stat_type,game_id,rec,yds,avg,td,long,tgts,fum,lost
Shedrick Jackson,receiving,401774568,4,76,19.0,1,41,4,,
Alex Bachman,receiving,401774568,2,36,18.0,0,33,4,,
Phillip Dorsett,receiving,401774568,3,36,12.0,0,14,4,,
Carter Runyon,receiving,401774568,3,33,11.0,0,20,3,,
Ian Thomas,receiving,401774568,2,24,12.0,0,25,2,,
Qadir Ismail,receiving,401774568,2,22,11.0,0,19,2,,
Dont'e Thornton Jr.,receiving,401774568,1,17,17.0,0,17,3,,
Collin Johnson,receiving,401774568,2,17,8.5,0,10,5,,
Tre Tucker,receiving,401774568,1,15,15.0,0,15,1,,
Justin Shorter,receiving,401774568,2,11,5.5,0,6,3,,
Dylan Laube,receiving,401774568,1,6,6.0,1,6,2,,
Jack Bech,receiving,401774568,1,5,5.0,0,5,2,,
Jakobi Meyers,receiving,401774568,0,0,0.0,0,0,1,,
Tommy Mellott,receiving,401774568,1,-2,-2.0,0,-2,1,,
Drew Lock,receiving,401774568,0,,,,,,1,0
Amari Kight,receiving,401774568,1,,,,,,0,0
