player,team,stat_category,game_id,fum,lost,rec
Kenneth Gainwell,PIT,fumbles,401772721,1,0,1
Kaleb Johnson,PIT,fumbles,401772721,1,0,0
Ben Skowronek,PIT,fumbles,401772721,0,0,1
Juan Thornhill,PIT,fumbles,401772721,0,0,1
