player,team,stat_category,game_id,rec,yds,avg,td,long,tgts
Puka Nacua,LAC,angeles receiving,401772723,10,130,13.0,0,25,11
Davante Adams,LAC,angeles receiving,401772723,4,51,12.8,0,24,8
Xavier Smith,LAC,angeles receiving,401772723,1,36,36.0,0,36,1
Blake Corum,LAC,angeles receiving,401772723,1,14,14.0,0,14,1
Davis Allen,LAC,angeles receiving,401772723,1,13,13.0,1,13,2
Tutu Atwell,LAC,angeles receiving,401772723,1,4,4.0,0,4,1
Kyren Williams,LAC,angeles receiving,401772723,1,3,3.0,0,3,2
Colby Parkinson,LAC,angeles receiving,401772723,2,-6,-3.0,0,1,2
