player,team,stat_category,game_id,car,yds,avg,td,long
Najee Harris,PIT,rushing,401671879,6,17,2.8,0,5
Jaylen Warren,PIT,rushing,401671879,2,6,3.0,0,4
Russell Wilson,PIT,rushing,401671879,3,6,2.0,0,5
