player,stat_type,game_id,c_att,yds,avg,td,int,sacks,rtg,,car,long,no,tb,in 20
Jaxson Dart,rushing,401776263,12/19,154,8.1,1,0,0-0,106.0,,,,,,
Tommy DeVito,rushing,401776263,10/14,73,5.2,1,0,0-0,107.1,,,,,,
Jameis Winston,rushing,401776263,7/11,62,5.6,1,0,0-0,108.9,,,,,,
Russell Wilson,rushing,401776263,6/7,28,4.0,0,0,0-0,83.3,,,,,,
Jaxson Dart,rushing,401776263,,24,8.0,0,,,,,3,19,,,
Dante Miller,rushing,401776263,,22,2.2,0,,,,,10,10,,,
Jameis Winston,rushing,401776263,,12,12.0,0,,,,,1,12,,,
Tyrone Tracy Jr.,rushing,401776263,,9,3.0,0,,,,,3,5,,,
Jonathan Ward,rushing,401776263,,5,1.7,0,,,,,3,3,,,
Montrell Washington,rushing,401776263,,3,3.0,0,,,,,1,3,,,
Devin Singletary,rushing,401776263,,3,1.5,0,,,,,2,3,,,
Tommy DeVito,rushing,401776263,,1,0.5,0,,,,,2,1,,,
Ihmir Smith-Marsette,rushing,401776263,,46,23.0,0,,,,,,40,2,,
Montrell Washington,rushing,401776263,,25,25.0,0,,,,,,25,1,,
Dante Miller,rushing,401776263,,20,20.0,0,,,,,,20,1,,
Ihmir Smith-Marsette,rushing,401776263,,23,11.5,0,,,,,,19,2,,
Dee Williams,rushing,401776263,,15,7.5,0,,,,,,15,2,,
Montrell Washington,rushing,401776263,,8,8.0,0,,,,,,8,1,,
Jamie Gillan,rushing,401776263,,181,45.3,,,,,,,57,4,0,1
