player,team,stat_category,game_id,fum,lost,rec
Trey Lance,LAC,angeles fumbles,401772971,1,0,1
Dez Fitzpatrick,LAC,angeles fumbles,401772971,0,0,1
Kendall Williamson,LAC,angeles fumbles,401772971,0,0,1
