player,team,stat_category,game_id,rec,yds,avg,td,long,tgts
Ladd McConkey,LAC,angeles receiving,401671878,9,197,21.9,1,86,14
Will Dissly,LAC,angeles receiving,401671878,2,16,8.0,0,9,5
Tucker Fisk,LAC,angeles receiving,401671878,1,15,15.0,0,15,1
DJ Chark,LAC,angeles receiving,401671878,1,10,10.0,0,10,4
Derius Davis,LAC,angeles receiving,401671878,1,4,4.0,0,4,1
J.K. Dobbins,LAC,angeles receiving,401671878,0,0,0.0,0,0,1
Hassan Haskins,LAC,angeles receiving,401671878,0,0,0.0,0,0,1
Quentin Johnston,LAC,angeles receiving,401671878,0,0,0.0,0,0,5
