player,team,stat_category,game_id,rec,yds,avg,td,long,tgts
Brenton Strange,JAX,receiving,401772828,4,59,14.8,0,24,4
Dyami Brown,JAX,receiving,401772828,3,52,17.3,0,23,4
Travis Hunter,JAX,receiving,401772828,6,33,5.5,0,10,8
Travis Etienne Jr.,JAX,receiving,401772828,3,13,4.3,0,7,3
Brian Thomas Jr.,JAX,receiving,401772828,1,11,11.0,0,11,7
Hunter Long,JAX,receiving,401772828,1,6,6.0,1,6,1
LeQuint Allen Jr.,JAX,receiving,401772828,1,4,4.0,0,4,1
Johnny Mundt,JAX,receiving,401772828,0,0,0.0,0,0,1
