player,team,stat_category,game_id,rec,yds,avg,td,long,tgts
CeeDee Lamb,DAL,receiving,401772510,7,110,15.7,0,32,13
George Pickens,DAL,receiving,401772510,3,30,10.0,0,15,4
Jake Ferguson,DAL,receiving,401772510,5,23,4.6,0,5,6
KaVontae Turpin,DAL,receiving,401772510,2,18,9.0,0,16,2
Javonte Williams,DAL,receiving,401772510,2,10,5.0,0,7,3
Jalen Tolbert,DAL,receiving,401772510,1,0,0.0,0,0,2
Brevyn Spann-Ford,DAL,receiving,401772510,0,0,0.0,0,0,1
Luke Schoonmaker,DAL,receiving,401772510,0,0,0.0,0,0,1
Miles Sanders,DAL,receiving,401772510,1,-3,-3.0,0,-3,1
