player,team,stat_category,game_id,fum,lost,rec
Grant Stuard,DET,fumbles,401772971,1,1,0
Jakobie Keeney-James,DET,fumbles,401772971,1,1,0
Jabari Small,DET,fumbles,401772971,1,0,0
Trystan Colon,DET,fumbles,401772971,0,0,1
