player,team,stat_category,game_id,int,yds,td
Zack Baun,PHI,interceptions,401671880,1,16,0
Darius Slay,PHI,interceptions,401671880,1,0,0
Quinyon Mitchell,PHI,interceptions,401671880,1,0,0
