player,team,stat_category,game_id,rec,yds,avg,td,long,tgts
Hollywood Brown,KC,city receiving,401772714,10,99,9.9,0,49,16
JuJu Smith-Schuster,KC,city receiving,401772714,5,55,11.0,0,16,5
Travis Kelce,KC,city receiving,401772714,2,47,23.5,1,37,4
Tyquan Thornton,KC,city receiving,401772714,2,41,20.5,0,38,4
Kareem Hunt,KC,city receiving,401772714,2,10,5.0,0,6,3
Noah Gray,KC,city receiving,401772714,1,3,3.0,0,3,1
Isiah Pacheco,KC,city receiving,401772714,2,3,1.5,0,4,3
Xavier Worthy,KC,city receiving,401772714,0,0,0.0,0,0,1
Jason Brownlee,KC,city receiving,401772714,0,0,0.0,0,0,1
