player,team,stat_category,game_id,rec,yds,avg,td,long,tgts
Isaac TeSlaa,DET,receiving,401772971,2,46,23.0,0,24,3
Dominic Lovett,DET,receiving,401772971,5,31,6.2,0,10,9
Craig Reynolds,DET,receiving,401772971,1,10,10.0,0,10,1
Jacob Saylors,DET,receiving,401772971,1,6,6.0,0,6,1
Jabari Small,DET,receiving,401772971,1,6,6.0,0,6,1
Jackson Meeks,DET,receiving,401772971,1,5,5.0,0,5,1
Shane Zylstra,DET,receiving,401772971,1,5,5.0,0,5,1
Tom Kennedy,DET,receiving,401772971,0,0,0.0,0,0,1
Jakobie Keeney-James,DET,receiving,401772971,0,0,0.0,0,0,1
