player,team,stat_category,game_id,fum,lost,rec
Joe Mixon,HOU,fumbles,401671878,1,1,0
John Metchie III,HOU,fumbles,401671878,1,1,0
C.J. Stroud,HOU,fumbles,401671878,1,0,1
