player,team,stat_category,game_id,fum,lost,rec
Skyy Moore,SF,francisco fumbles,401772831,1,0,1
Nick Bosa,SF,francisco fumbles,401772831,0,0,1
Marques Sigle,SF,francisco fumbles,401772831,0,0,1
