player,team,stat_category,game_id,rec,yds,avg,td,long,tgts
Isaiah Likely,BAL,receiving,401671879,3,53,17.7,0,25,4
Mark Andrews,BAL,receiving,401671879,2,27,13.5,0,20,3
Nelson Agholor,BAL,receiving,401671879,1,25,25.0,0,25,1
Rashod Bateman,BAL,receiving,401671879,2,24,12.0,1,15,2
Tylan Wallace,BAL,receiving,401671879,1,21,21.0,0,21,2
Justice Hill,BAL,receiving,401671879,4,13,3.3,1,7,4
Anthony Miller,BAL,receiving,401671879,3,12,4.0,0,5,3
