player,team,stat_category,game_id,car,yds,avg,td,long
Jayden Daniels,WAS,rushing,401671883,13,36,2.8,0,8
Austin Ekeler,WAS,rushing,401671883,8,27,3.4,0,12
Brian Robinson Jr.,WAS,rushing,401671883,10,16,1.6,0,5
Marcus Mariota,WAS,rushing,401671883,1,2,2.0,0,2
Jeremy McNichols,WAS,rushing,401671883,1,1,1.0,0,1
