player,team,stat_category,game_id,c_att,yds,avg,td,int,sacks,rtg,
Trey Lance,LAC,angeles passing,401772971,13/20,120,6.0,2,0,1-5,114.6,
DJ Uiagalelei,LAC,angeles passing,401772971,2/3,25,8.3,0,0,0-0,92.4,
