player,team,stat_category,game_id,rec,yds,avg,td,long,tgts
Dyami Brown,WAS,receiving,401671883,5,89,17.8,1,30,5
Terry McLaurin,WAS,receiving,401671883,7,89,12.7,1,35,10
Austin Ekeler,WAS,receiving,401671883,3,26,8.7,0,18,4
Zach Ertz,WAS,receiving,401671883,2,23,11.5,0,14,4
Brian Robinson Jr.,WAS,receiving,401671883,4,22,5.5,0,13,5
Olamide Zaccheaus,WAS,receiving,401671883,3,19,6.3,0,8,3
John Bates,WAS,receiving,401671883,0,0,0.0,0,0,1
