player,stat_type,game_id,rec,yds,avg,td,long,tgts,fum,lost
Ja'Marr Chase,receiving,401773005,4,77,19.3,1,36,4,,
Tanner Hudson,receiving,401773005,6,62,10.3,2,21,8,,
Jamoi Mayes,receiving,401773005,1,48,48.0,0,48,4,,
Charlie Jones,receiving,401773005,3,41,13.7,0,21,6,,
Chase Brown,receiving,401773005,3,25,8.3,0,13,3,,
Mitchell Tinsley,receiving,401773005,1,15,15.0,0,15,1,,
Jermaine Burton,receiving,401773005,1,3,3.0,0,3,2,,
Tahj Brooks,receiving,401773005,1,3,3.0,0,3,2,,
Jordan Moore,receiving,401773005,2,2,1.0,0,2,3,,
Kendric Pryor,receiving,401773005,0,0,0.0,0,0,1,,
Tee Higgins,receiving,401773005,0,0,0.0,0,0,1,,
Tanner McLachlan,receiving,401773005,0,0,0.0,0,0,1,,
Rashod Owens,receiving,401773005,0,0,0.0,0,0,1,,
Isaiah Williams,receiving,401773005,0,0,0.0,0,0,1,,
Cole Burgess,receiving,401773005,0,0,0.0,0,0,1,,
Dorian Thompson-Robinson,receiving,401773005,0,,,,,,1,0
Cameron Williams,receiving,401773005,1,,,,,,0,0
