player,team,stat_category,game_id,int,yds,td
Derek Stingley Jr.,HOU,interceptions,401671878,2,70,0
Eric Murray,HOU,interceptions,401671878,1,38,1
Kamari Lassiter,HOU,interceptions,401671878,1,0,0
