player,team,stat_category,game_id,rec,yds,avg,td,long,tgts
Quentin Johnston,LAC,angeles receiving,401772714,5,79,15.8,2,33,7
Ladd McConkey,LAC,angeles receiving,401772714,6,74,12.3,0,23,9
Keenan Allen,LAC,angeles receiving,401772714,7,68,9.7,1,15,10
Tyler Conklin,LAC,angeles receiving,401772714,2,50,25.0,0,33,2
Will Dissly,LAC,angeles receiving,401772714,1,18,18.0,0,18,1
Omarion Hampton,LAC,angeles receiving,401772714,2,13,6.5,0,7,2
Tre' Harris,LAC,angeles receiving,401772714,1,11,11.0,0,11,1
Najee Harris,LAC,angeles receiving,401772714,1,5,5.0,0,5,1
KeAndre Lambert-Smith,LAC,angeles receiving,401772714,0,0,0.0,0,0,1
