player,team,stat_category,game_id,rec,yds,avg,td,long,tgts
George Pickens,PIT,receiving,401671879,5,87,17.4,1,36,5
Najee Harris,PIT,receiving,401671879,3,41,13.7,0,21,3
Van Jefferson,PIT,receiving,401671879,2,37,18.5,1,30,2
Mike Williams,PIT,receiving,401671879,1,37,37.0,0,37,2
Calvin Austin III,PIT,receiving,401671879,1,25,25.0,0,25,2
Jaylen Warren,PIT,receiving,401671879,4,19,4.8,0,7,5
Pat Freiermuth,PIT,receiving,401671879,3,15,5.0,0,9,4
Darnell Washington,PIT,receiving,401671879,1,9,9.0,0,9,3
