player,team,stat_category,game_id,rec,yds,avg,td,long,tgts
Emeka Egbuka,TB,bay receiving,401772830,4,67,16.8,2,30,6
Mike Evans,TB,bay receiving,401772830,5,51,10.2,0,14,8
Sterling Shepard,TB,bay receiving,401772830,3,39,13.0,0,19,6
Bucky Irving,TB,bay receiving,401772830,4,8,2.0,1,9,4
Rachaad White,TB,bay receiving,401772830,1,2,2.0,0,2,1
Cade Otton,TB,bay receiving,401772830,0,0,0.0,0,0,3
Ryan Miller,TB,bay receiving,401772830,0,0,0.0,0,0,1
Tez Johnson,TB,bay receiving,401772830,0,0,0.0,0,0,1
