player,team,stat_category,game_id,rec,yds,avg,td,long,tgts
Romeo Doubs,GB,bay receiving,401772722,2,68,34.0,0,48,4
Jayden Reed,GB,bay receiving,401772722,3,45,15.0,1,26,5
Dontayvion Wicks,GB,bay receiving,401772722,2,30,15.0,0,16,2
Tucker Kraft,GB,bay receiving,401772722,2,16,8.0,1,15,4
Matthew Golden,GB,bay receiving,401772722,2,16,8.0,0,11,2
Josh Jacobs,GB,bay receiving,401772722,1,4,4.0,0,4,1
Luke Musgrave,GB,bay receiving,401772722,1,4,4.0,0,4,1
Chris Brooks,GB,bay receiving,401772722,1,2,2.0,0,2,1
John FitzPatrick,GB,bay receiving,401772722,1,2,2.0,0,2,1
Savion Williams,GB,bay receiving,401772722,1,1,1.0,0,1,1
