player,team,stat_category,game_id,fum,lost,rec
Tony Pollard,NE,fumbles,401772832,1,1,0
Cam Ward,NE,fumbles,401772832,1,1,0
Sebastian Joseph-Day,NE,fumbles,401772832,0,0,1
Dorian Mausi,NE,fumbles,401772832,0,0,1
