player,team,stat_category,game_id,rec,yds,avg,td,long,tgts
DJ Moore,CHI,receiving,401772810,3,68,22.7,0,30,5
Olamide Zaccheaus,CHI,receiving,401772810,4,42,10.5,0,16,7
Rome Odunze,CHI,receiving,401772810,6,37,6.2,1,17,9
Cole Kmet,CHI,receiving,401772810,1,31,31.0,0,31,4
Colston Loveland,CHI,receiving,401772810,2,12,6.0,0,8,2
D'Andre Swift,CHI,receiving,401772810,3,12,4.0,0,8,5
Kyle Monangai,CHI,receiving,401772810,1,11,11.0,0,11,1
Luther Burden III,CHI,receiving,401772810,1,-3,-3.0,0,-3,1
