player,team,stat_category,game_id,car,yds,avg,td,long
Joe Mixon,HOU,rushing,401671878,25,106,4.2,1,17
C.J. Stroud,HOU,rushing,401671878,6,42,7.0,0,27
Dameon Pierce,HOU,rushing,401671878,2,15,7.5,0,13
Dare Ogunbowale,HOU,rushing,401671878,1,5,5.0,0,5
