player,team,stat_category,game_id,car,yds,avg,td,long
Josh Jacobs,GB,bay rushing,401671880,18,81,4.5,1,31
Jordan Love,GB,bay rushing,401671880,2,10,5.0,0,11
Tucker Kraft,GB,bay rushing,401671880,2,10,5.0,0,8
Emanuel Wilson,GB,bay rushing,401671880,3,6,2.0,0,4
