player,team,stat_category,game_id,rec,yds,avg,td,long,tgts
Nico Collins,HOU,receiving,401671878,7,122,17.4,1,41,8
Xavier Hutchinson,HOU,receiving,401671878,1,34,34.0,0,34,1
Cade Stover,HOU,receiving,401671878,4,28,7.0,0,11,4
John Metchie III,HOU,receiving,401671878,4,28,7.0,0,10,8
Dalton Schultz,HOU,receiving,401671878,2,23,11.5,0,14,4
Robert Woods,HOU,receiving,401671878,2,22,11.0,0,13,4
Joe Mixon,HOU,receiving,401671878,1,13,13.0,0,13,2
Diontae Johnson,HOU,receiving,401671878,1,12,12.0,0,12,1
