player,team,stat_category,game_id,rec,yds,avg,td,long,tgts
Tony Pollard,NE,receiving,401772832,1,29,29.0,0,29,1
Calvin Ridley,NE,receiving,401772832,4,27,6.8,0,13,8
Chig Okonkwo,NE,receiving,401772832,3,19,6.3,0,14,4
Gunnar Helm,NE,receiving,401772832,1,16,16.0,0,16,2
Elic Ayomanor,NE,receiving,401772832,2,13,6.5,0,10,7
Bryce Oliver,NE,receiving,401772832,1,8,8.0,0,8,1
Tyler Lockett,NE,receiving,401772832,0,0,0.0,0,0,1
Chimere Dike,NE,receiving,401772832,0,0,0.0,0,0,1
