player,stat_type,game_id,c_att,yds,avg,td,int,sacks,rtg,,car,long,no,tb,in 20
Cameron Ward,rushing,401774029,5/8,67,8.4,0,0,0-0,89.1,,,,,,
Brandon Allen,rushing,401774029,6/12,62,5.2,0,1,1-8,30.6,,,,,,
Tim Boyle,rushing,401774029,4/13,24,1.8,0,2,1-10,0.6,,,,,,
Kalel Mullings,rushing,401774029,,33,4.7,0,,,,,7,12,,,
Julius Chestnut,rushing,401774029,,18,6.0,0,,,,,3,8,,,
Tony Pollard,rushing,401774029,,9,2.3,1,,,,,4,5,,,
Jordan Mims,rushing,401774029,,8,2.7,0,,,,,3,7,,,
Tyjae Spears,rushing,401774029,,-1,-0.3,0,,,,,3,3,,,
Brandon Allen,rushing,401774029,,-1,-1.0,0,,,,,1,-1,,,
Roman Parodie,rushing,401774029,,39,,1,1,,,,,,,,
Tyrek Funderburk,rushing,401774029,,6,,0,1,,,,,,,,
Nick Jackson,rushing,401774029,,0,,0,1,,,,,,,,
TJ Sheffield,rushing,401774029,,54,27.0,0,,,,,,29,2,,
Chimere Dike,rushing,401774029,,32,32.0,0,,,,,,32,1,,
Jha'Quan Jackson,rushing,401774029,,23,23.0,0,,,,,,23,1,,
Matt Landers,rushing,401774029,,22,22.0,0,,,,,,22,1,,
James Proche II,rushing,401774029,,21,21.0,0,,,,,,21,1,,
James Proche II,rushing,401774029,,1,1.0,0,,,,,,1,1,,
Johnny Hekker,rushing,401774029,,178,44.5,,,,,,,53,4,0,0
