player,team,stat_category,game_id,c_att,yds,avg,td,int,sacks,qbr,rtg
Russell Wilson,PIT,passing,401671879,20/29,270,9.3,2,0,4-19,42.4,121.3
Justin Fields,PIT,passing,401671879,0/1,0,0.0,0,0,0-0,5.1,39.6
