player,team,stat_category,game_id,rec,yds,avg,td,long,tgts
Kayshon Boutte,NE,england receiving,401772720,6,103,17.2,0,24,8
Hunter Henry,NE,england receiving,401772720,4,66,16.5,0,27,8
Stefon Diggs,NE,england receiving,401772720,6,57,9.5,0,16,7
TreVeyon Henderson,NE,england receiving,401772720,6,24,4.0,0,13,6
Kyle Williams,NE,england receiving,401772720,1,12,12.0,0,12,1
Rhamondre Stevenson,NE,england receiving,401772720,2,12,6.0,0,7,3
Austin Hooper,NE,england receiving,401772720,1,10,10.0,0,10,1
Mack Hollins,NE,england receiving,401772720,1,3,3.0,0,3,2
Drake Maye,NE,england receiving,401772720,1,2,2.0,0,2,1
Antonio Gibson,NE,england receiving,401772720,0,0,0.0,0,0,1
DeMario Douglas,NE,england receiving,401772720,2,-2,-1.0,1,2,7
