player,stat_type,game_id,c_att,yds,avg,td,int,sacks,rtg,,car,long,no,tb,in 20
Daniel Jones,rushing,401773001,10/21,144,6.9,0,0,1-9,70.3,,,,,,
Riley Leonard,rushing,401773001,12/24,92,3.8,0,1,0-0,42.4,,,,,,
Anthony Richardson Sr.,rushing,401773001,2/3,21,7.0,0,0,1-8,86.8,,,,,,
Ulysses Bentley IV,rushing,401773001,,35,5.0,0,,,,,7,10,,,
Riley Leonard,rushing,401773001,,34,8.5,0,,,,,4,21,,,
Khalil Herbert,rushing,401773001,,29,4.1,1,,,,,7,17,,,
DJ Giddens,rushing,401773001,,17,2.8,0,,,,,6,7,,,
Tyler Goodson,rushing,401773001,,11,2.8,0,,,,,4,5,,,
Joe Bachie,rushing,401773001,,0,,0,1,,,,,,,,
Alex Johnson,rushing,401773001,,0,,0,1,,,,,,,,
Khalil Herbert,rushing,401773001,,51,25.5,0,,,,,,31,2,,
Anthony Gould,rushing,401773001,,36,36.0,0,,,,,,36,1,,
DJ Giddens,rushing,401773001,,21,21.0,0,,,,,,21,1,,
Anthony Gould,rushing,401773001,,20,20.0,0,,,,,,20,1,,
Coleman Owen,rushing,401773001,,17,8.5,0,,,,,,14,2,,
Rigoberto Sanchez,rushing,401773001,,278,46.3,,,,,,,55,6,0,2
