player,stat_type,game_id,rec,yds,avg,td,long,tgts,fum,lost
Dante Miller,receiving,401776263,7,80,11.4,0,18,7,,
Montrell Washington,receiving,401776263,3,60,20.0,0,29,6,,
Lil'Jordan Humphrey,receiving,401776263,2,36,18.0,1,28,4,,
Jonathan Ward,receiving,401776263,4,35,8.8,1,21,5,,
Gunner Olszewski#O,receiving,401776263,5,27,5.4,1,9,8,,
Thomas Fidone II,receiving,401776263,3,22,7.3,0,16,3,,
Wan'Dale Robinson,receiving,401776263,1,11,11.0,0,11,1,,
Theo Johnson,receiving,401776263,2,10,5.0,0,7,2,,
Zach Pascal,receiving,401776263,1,9,9.0,0,9,1,,
Jordan Bly,receiving,401776263,1,8,8.0,0,8,1,,
Tyrone Tracy Jr.,receiving,401776263,2,7,3.5,0,7,2,,
Greg Dulcich,receiving,401776263,2,7,3.5,0,7,3,,
Ihmir Smith-Marsette,receiving,401776263,1,5,5.0,0,5,1,,
Devin Singletary,receiving,401776263,0,0,0.0,0,0,1,,
Daniel Bellinger,receiving,401776263,1,0,0.0,0,0,1,,
Dalen Cambre,receiving,401776263,0,0,0.0,0,0,2,,
Juice Wells Jr.,receiving,401776263,0,0,0.0,0,0,2,,
Trace Ford,receiving,401776263,1,,,,,,0,0
