player,stat_type,game_id,rec,yds,avg,td,long,tgts,fum,lost
Ja'Corey Brooks,receiving,401772996,5,59,11.8,0,16,5,,
Tay Martin,receiving,401772996,3,36,12.0,0,22,3,,
Lawrence Cager,receiving,401772996,2,35,17.5,0,33,2,,
Michael Gallup,receiving,401772996,2,27,13.5,0,15,6,,
Braylon Sanders,receiving,401772996,2,19,9.5,0,14,2,,
Jeremy McNichols,receiving,401772996,1,14,14.0,0,14,1,,
K.J. Osborn,receiving,401772996,2,14,7.0,0,7,5,,
Ben Sinnott,receiving,401772996,2,10,5.0,0,5,3,,
Colson Yankoff,receiving,401772996,1,9,9.0,0,9,2,,
Jacory Croskey-Merritt,receiving,401772996,1,8,8.0,0,8,1,,
Jacoby Jones,receiving,401772996,2,7,3.5,1,4,3,,
Chris Moore,receiving,401772996,0,0,0.0,0,0,2,,
Cole Turner,receiving,401772996,0,0,0.0,0,0,1,,
Chris Rodriguez Jr.,receiving,401772996,0,0,0.0,0,0,1,,
Michael Strachan,receiving,401772996,0,0,0.0,0,0,1,,
Jaylin Lane,receiving,401772996,0,0,0.0,0,0,1,,
Luke McCaffrey,receiving,401772996,1,-1,-1.0,0,-1,1,,
Jacob Martin,receiving,401772996,1,,,,,,0,0
