player,team,stat_category,game_id,car,yds,avg,td,long
Caleb Williams,CHI,rushing,401772810,6,58,9.7,1,13
D'Andre Swift,CHI,rushing,401772810,17,53,3.1,0,13
DJ Moore,CHI,rushing,401772810,3,8,2.7,0,5
