player,team,stat_category,game_id,car,yds,avg,td,long
Bucky Irving,TB,bay rushing,401671883,17,77,4.5,0,19
Baker Mayfield,TB,bay rushing,401671883,7,23,3.3,0,18
Rachaad White,TB,bay rushing,401671883,1,1,1.0,0,1
