player,stat_type,game_id,c_att,yds,avg,td,int,sacks,rtg,,car,long,no,tb,in 20
Kedon Slovis,rushing,401773012,11/15,71,4.7,0,0,2-19,82.9,,,,,,
Davis Mills,rushing,401773012,4/5,50,10.0,1,0,0-0,147.9,,,,,,
Graham Mertz,rushing,401773012,7/14,27,1.9,0,3,0-0,16.7,,,,,,
Dare Ogunbowale,rushing,401773012,,29,5.8,0,,,,,5,9,,,
Jawhar Jordan,rushing,401773012,,18,3.0,0,,,,,6,5,,,
Graham Mertz,rushing,401773012,,9,9.0,0,,,,,1,9,,,
J.J. Taylor,rushing,401773012,,5,2.5,0,,,,,2,3,,,
Woody Marks,rushing,401773012,,4,1.3,0,,,,,3,5,,,
Kahlef Hailassie,rushing,401773012,,22,,0,2,,,,,,,,
Ambry Thomas,rushing,401773012,,1,,0,1,,,,,,,,
Woody Marks,rushing,401773012,,26,26.0,0,,,,,,26,1,,
Braxton Berrios,rushing,401773012,,24,24.0,0,,,,,,24,1,,
John Metchie III,rushing,401773012,,23,23.0,0,,,,,,23,1,,
Daniel Jackson,rushing,401773012,,12,12.0,0,,,,,,12,1,,
Braxton Berrios,rushing,401773012,,9,9.0,0,,,,,,9,1,,
J.J. Taylor,rushing,401773012,,3,3.0,0,,,,,,3,1,,
Jawhar Jordan,rushing,401773012,,0,0.0,0,,,,,,0,1,,
Tommy Townsend,rushing,401773012,,173,43.3,,,,,,,54,4,0,1
