player,team,stat_category,game_id,rec,yds,avg,td,long,tgts
Brock Bowers,DAL,vegas receiving,401772720,5,103,20.6,0,38,8
Jakobi Meyers,DAL,vegas receiving,401772720,8,97,12.1,0,24,10
Tre Tucker,DAL,vegas receiving,401772720,2,54,27.0,1,28,3
Dont'e Thornton Jr.,DAL,vegas receiving,401772720,2,45,22.5,0,36,4
Michael Mayer,DAL,vegas receiving,401772720,4,38,9.5,0,12,4
Jack Bech,DAL,vegas receiving,401772720,1,23,23.0,0,23,1
Ashton Jeanty,DAL,vegas receiving,401772720,2,2,1.0,0,4,2
Alex Bachman,DAL,vegas receiving,401772720,0,0,0.0,0,0,1
