player,team,stat_category,game_id,car,yds,avg,td,long
Chuba Hubbard,CAR,rushing,401772828,16,57,3.6,0,9
Bryce Young,CAR,rushing,401772828,5,40,8.0,0,22
Rico Dowdle,CAR,rushing,401772828,3,12,4.0,0,9
Trevor Etienne,CAR,rushing,401772828,1,4,4.0,0,4
