player,team,stat_category,game_id,car,yds,avg,td,long
Derrick Henry,BAL,rushing,401772918,18,169,9.4,2,49
Lamar Jackson,BAL,rushing,401772918,6,70,11.7,1,19
Zay Flowers,BAL,rushing,401772918,2,8,4.0,0,8
Rasheen Ali,BAL,rushing,401772918,1,5,5.0,0,5
Justice Hill,BAL,rushing,401772918,2,-14,-7.0,0,1
