player,team,stat_category,game_id,rec,yds,avg,td,long,tgts
Courtland Sutton,DEN,receiving,401772832,6,61,10.2,1,22,9
Troy Franklin,DEN,receiving,401772832,4,44,11.0,0,18,6
Evan Engram,DEN,receiving,401772832,3,21,7.0,0,10,4
Tyler Badie,DEN,receiving,401772832,2,16,8.0,0,13,6
Marvin Mims Jr.,DEN,receiving,401772832,3,12,4.0,0,7,4
Lucas Krull,DEN,receiving,401772832,1,6,6.0,0,6,2
Adam Trautman,DEN,receiving,401772832,1,5,5.0,0,5,1
J.K. Dobbins,DEN,receiving,401772832,2,5,2.5,0,3,2
Adam Prentice,DEN,receiving,401772832,1,4,4.0,0,4,1
Trent Sherfield Sr.,DEN,receiving,401772832,1,3,3.0,0,3,1
RJ Harvey,DEN,receiving,401772832,1,-1,-1.0,0,-1,1
