player,team,stat_category,game_id,car,yds,avg,td,long
Russell Wilson,NE,york rushing,401772827,8,44,5.5,0,15
Tyrone Tracy Jr.,NE,york rushing,401772827,10,24,2.4,0,6
Devin Singletary,NE,york rushing,401772827,3,9,3.0,0,8
Cam Skattebo,NE,york rushing,401772827,2,-3,-1.5,0,-1
