player,team,stat_category,game_id,car,yds,avg,td,long
TreVeyon Henderson,NE,england rushing,401772720,5,27,5.4,0,14
Rhamondre Stevenson,NE,england rushing,401772720,7,15,2.1,0,6
Drake Maye,NE,england rushing,401772720,4,11,2.8,0,4
DeMario Douglas,NE,england rushing,401772720,1,4,4.0,0,4
Antonio Gibson,NE,england rushing,401772720,1,3,3.0,0,3
